ID,Variantes,Codigo EAN,Detalle,Deta,Stock,Ver stk,Precio,Oferta,Publica,Envio,Moneda,Verificación,Proveedor
13911|4751,34,7793008001652,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13913|4751,34,7793008001737,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wNy0yMiAwMDoxODoxNQ==,LABORATORIO CUENCA SA
13915|4751,34,7793008019527,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wMy0xMCAyMDozMDowMg==,LABORATORIO CUENCA SA
13917|4751,34,7793008007517,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wMi0wMyAxNzoxMzoyOQ==,LABORATORIO CUENCA SA
13919|4751,34,7793008019541,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wMy0xMCAyMDozMDowMg==,LABORATORIO CUENCA SA
13921|4751,34,7793008001843,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wMi0wNiAyMzozOTowNQ==,LABORATORIO CUENCA SA
13923|4751,34,7793008003274,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wMi0wNiAyMzozOTowNQ==,LABORATORIO CUENCA SA
13925|4751,34,7793008031710,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wMi0wMyAxNzoxMzozMA==,LABORATORIO CUENCA SA
13927|4751,34,7793008001669,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13929|4751,34,7793008001744,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13931|4751,34,7793008001690,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wNy0wNiAyMDoyNDo0OA==,LABORATORIO CUENCA SA
13933|4751,34,7793008001690,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wMi0wNiAyMzozOTowNQ==,LABORATORIO CUENCA SA
13935|4751,34,7793008001799,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wMS0xOCAyMDowNDozOQ==,LABORATORIO CUENCA SA
13939|4751,34,7793008007531,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wMi0wNiAyMzozOTowNQ==,LABORATORIO CUENCA SA
13941|4751,34,7793008001676,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13943|4751,34,7793008001751,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13945|4751,34,7793008001706,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wNi0yNSAxOTo0Njo0MA==,LABORATORIO CUENCA SA
13947|4751,34,7793008001805,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0xMC0yOCAxMjoyMjo1Mg==,LABORATORIO CUENCA SA
13951|4751,34,7793008031727,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wMy0xMiAyMjoyNzozOA==,LABORATORIO CUENCA SA
13953|4751,34,7793008001683,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wMS0xOCAyMDowNDozOQ==,LABORATORIO CUENCA SA
13957|4751,34,7793008001768,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wOC0yNSAyMzo0NDozMg==,LABORATORIO CUENCA SA
13959|4751,34,7793008001713,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNC0wMi0wMyAxNzoxMzozMA==,LABORATORIO CUENCA SA
13963|4751,34,7793008019664,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMi0xMS0wMiAxOToxODoyMA==,LABORATORIO CUENCA SA
13965|4751,34,7793008019343,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyNS0wNi0yNSAxOTo0Njo0MA==,LABORATORIO CUENCA SA
13967|4751,34,7793008001775,ISSUE COLORACIÓN SACHET (+ oxidante),Precio sin impuestos nacionales      2.050,6,1,3100,2480,1,1,,MjAyMy0wOC0yNSAyMzo0NDozMg==,LABORATORIO CUENCA SA
4891,24,4891,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,0,1,4600,,1,1,ARS,MjAyNS0xMi0xOCAxODoyMDoyOQ==,LAB. HANNAH COLLINS S.A.
13593|4891,24,7794260006393,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,1,1,4600,,1,1,,MjAyNi0wMi0yNyAxMjowMDo0NA==,LAB. HANNAH COLLINS S.A.
13595|4891,24,7794260006409,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNS0xMi0xOCAxODoyMDoyOQ==,LAB. HANNAH COLLINS S.A.
13597|4891,24,7794260006416,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNi0wMi0yMyAyMjoxNDoxMA==,LAB. HANNAH COLLINS S.A.
13599|4891,24,7794260006546,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13601|4891,24,7794260006423,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,LAB. HANNAH COLLINS S.A.
13603|4891,24,7794260006461,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNC0wMy0zMCAxMTo0MDo0MA==,LAB. HANNAH COLLINS S.A.
13605|4891,24,7794260006515,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13607|4891,24,7794260006577,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNS0wMy0wNyAxMjo0ODo0NQ==,LAB. HANNAH COLLINS S.A.
13609|4891,24,7794260006553,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wOC0wOCAyMTozMToxMQ==,LAB. HANNAH COLLINS S.A.
13611|4891,24,7794260006430,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13613|4891,24,7794260006478,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,LAB. HANNAH COLLINS S.A.
13615|4891,24,7794260006522,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13617|4891,24,7794260006584,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,2,1,4600,,1,1,,MjAyNS0wNy0wMSAxMTowOTo1OQ==,LAB. HANNAH COLLINS S.A.
13619|4891,24,7794260006560,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMy0xMC0yMSAxOToxMTo0Mw==,LAB. HANNAH COLLINS S.A.
13621|4891,24,7794260006447,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13623|4891,24,7794260006485,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13625|4891,24,7794260006539,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13627|4891,24,7794260006454,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMi0wNi0yNCAyMDoxODowNg==,LAB. HANNAH COLLINS S.A.
13629|4891,24,7794260006492,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMi0wOC0yOCAyMDoxMDozOA==,LAB. HANNAH COLLINS S.A.
13631|4891,24,7794260006508,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyNC0wMi0wNiAxNToxMDo1OA==,LAB. HANNAH COLLINS S.A.
13633|4891,24,7794260007772,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMy0wOC0xOCAxNjo0NzozNA==,LAB. HANNAH COLLINS S.A.
13635|4891,24,7794260007789,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13637|4891,24,7794260007796,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,3,1,4600,,1,1,,MjAyMS0wNS0yNyAxOTowMjoxNw==,LAB. HANNAH COLLINS S.A.
13639|4891,24,7794260007802,SYSTEM 3 COLORACION 0% AMONIACO,Precio sin impuestos nacionales      3.802,0,1,4600,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,#N/A
4937,35,4937,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,0,1,4800,,1,1,ARS,MjAyNS0xMi0xOCAxODoyMDoyOQ==,LAB. HANNAH COLLINS S.A.
13641|4937,35,7794260000063,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNi0yNSAyMjo1MDoxNw==,LAB. HANNAH COLLINS S.A.
13643|4937,35,7794260000209,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNy0wNiAyMDoxODozMw==,LAB. HANNAH COLLINS S.A.
13645|4937,35,7794260000216,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNy0wNiAyMDoxODozMw==,LAB. HANNAH COLLINS S.A.
13647|4937,35,7794260007093,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,2,1,4800,,1,1,,MjAyNS0xMC0wMyAxNDo1NjowNg==,LAB. HANNAH COLLINS S.A.
13649|4937,35,7794260000124,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13651|4937,35,7794260000148,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMi0wNi0yNCAyMDoxODowNw==,LAB. HANNAH COLLINS S.A.
13653|4937,35,7794260000223,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,2,1,4800,,1,1,,MjAyNS0xMC0wMyAxNDo1NjowNg==,LAB. HANNAH COLLINS S.A.
13655|4937,35,7794260001879,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMi0wNi0yNCAyMDoxODowNw==,LAB. HANNAH COLLINS S.A.
13657|4937,35,7794260000162,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNS0wNi0yNyAwODoyNTowNg==,LAB. HANNAH COLLINS S.A.
13659|4937,35,7794260000247,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNy0wNiAyMDoxODozMw==,LAB. HANNAH COLLINS S.A.
13661|4937,35,7794260001770,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13663|4937,35,7794260001824,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMi0wNi0yNCAyMDoxODowNw==,LAB. HANNAH COLLINS S.A.
13665|4937,35,7794260001886,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0xMC0yMSAxOToxMjowNA==,LAB. HANNAH COLLINS S.A.
13667|4937,35,7794260000179,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,LAB. HANNAH COLLINS S.A.
13669|4937,35,7794260000766,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNi0wMy0yOCAxMzoyNDozOA==,LAB. HANNAH COLLINS S.A.
13671|4937,35,7794260001787,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,LAB. HANNAH COLLINS S.A.
13673|4937,35,7794260001831,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNi0wMy0yOCAxMzoyNDozOA==,LAB. HANNAH COLLINS S.A.
13675|4937,35,7794260001862,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,2,1,4800,,1,1,,MjAyNi0wMS0xOSAxMDo1MzoxMQ==,LAB. HANNAH COLLINS S.A.
13677|4937,35,7794260001893,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13679|4937,35,7794260000186,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMi0wNi0yNCAyMDoxODowNw==,LAB. HANNAH COLLINS S.A.
13681|4937,35,7794260001749,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNi0wMS0xOSAxMDo1MzoxMQ==,LAB. HANNAH COLLINS S.A.
13683|4937,35,7794260001794,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNS0wMy0yNyAyMDoxNjo1Nw==,LAB. HANNAH COLLINS S.A.
13685|4937,35,7794260007024,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyNC0wMS0zMCAwMzoyNjo0NA==,LAB. HANNAH COLLINS S.A.
13687|4937,35,7794260007079,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13689|4937,35,7794260001848,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNy0wNiAyMDoxODozMw==,LAB. HANNAH COLLINS S.A.
13691|4937,35,7794260007765,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNC0yMSAxNDo0Mzo0MA==,LAB. HANNAH COLLINS S.A.
13693|4937,35,7794260000193,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13695|4937,35,7794260001756,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13697|4937,35,7794260001800,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13699|4937,35,7794260007031,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMi0wNi0yNCAyMDoyMjoyMQ==,LAB. HANNAH COLLINS S.A.
13701|4937,35,7794260007086,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,2,1,4800,,1,1,,MjAyNS0xMC0wMyAxNDo1NjowNg==,LAB. HANNAH COLLINS S.A.
13703|4937,35,7794260001855,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0xMC0yMSAxOToxMjowNA==,LAB. HANNAH COLLINS S.A.
13705|4937,35,7794260002043,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMy0wNy0wNiAyMDoxODozNA==,LAB. HANNAH COLLINS S.A.
13707|4937,35,7794260002050,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNS0yNyAxOToxOTozNw==,LAB. HANNAH COLLINS S.A.
13709|4937,35,7794260007109,SYSTEM 3 COLORACION PROFESIONAL,Precio sin impuestos nacionales      3.967,3,1,4800,,1,1,,MjAyMS0wNy0yNyAxNjoxNjoyNw==,LAB. HANNAH COLLINS S.A.
5047,24,5047,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,0,1,9600,7200,1,1,ARS,MjAyNS0xMS0xOCAxMjoxMToxMw==,CAPILATIS SA
13839|5047,24,7792640008159,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wMi0wNiAyMzo0NTo1MA==,CAPILATIS SA
13841|5047,24,7792640008364,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0zMSAxMTo1NzoxMw==,CAPILATIS SA
13843|5047,24,7792640008357,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0yOCAxNTo0Mjo1NQ==,CAPILATIS SA
13845|5047,24,7792640008166,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMy0xMC0xMCAxNjo1ODoyMQ==,CAPILATIS SA
13847|5047,24,7792640008173,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wNC0wNSAxOTozMjoxOQ==,CAPILATIS SA
13849|5047,24,7792640008227,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0yOCAxNTo0Mjo1NQ==,CAPILATIS SA
13851|5047,24,7792640008371,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0yOCAxNTo0Mjo1NQ==,CAPILATIS SA
13853|5047,24,7792640008197,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0yOCAxNTo0Mjo1NQ==,CAPILATIS SA
13855|5047,24,7792640008180,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMy0wMS0xOCAyMTowODowOA==,CAPILATIS SA
13857|5047,24,7792640008234,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMy0wMy0xMyAyMToyMToxNg==,CAPILATIS SA
13859|5047,24,7792640008319,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNC0wMy0zMCAxMTo0MDo0MA==,CAPILATIS SA
13861|5047,24,7792640008388,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0xMC0yNSAyMzo0ODo1Mw==,CAPILATIS SA
13863|5047,24,7792640008203,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMS0wNS0yOCAxNTo0Mjo1NQ==,CAPILATIS SA
13865|5047,24,7792640008326,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0xMS0xNSAyMTowNzo0MA==,CAPILATIS SA
13867|5047,24,7792640008302,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyMy0wOC0xOCAxMTo1OTozMQ==,CAPILATIS SA
13869|5047,24,7792640008272,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wOS0yNSAxMzowMzoxNQ==,CAPILATIS SA
13871|5047,24,7792640008210,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wNS0xNCAyMTowMjozOA==,CAPILATIS SA
13873|5047,24,7792640008241,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wOS0yMSAxMzozODoxMg==,CAPILATIS SA
13875|5047,24,7792640008258,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wOS0yMSAxMzozODoxMg==,CAPILATIS SA
13877|5047,24,7792640008333,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNC0wMy0xMiAwMDowOToxMg==,CAPILATIS SA
13879|5047,24,7792640008289,CAPILATIS COLORACION KIT,Precio sin impuestos nacionales      5.950,3,1,10000,7500,1,1,,MjAyNS0wMi0wNiAyMzo0NTo1MA==,CAPILATIS SA
